Time,,ID,RX/TX,Length,
0.044971,1,656,Rx d,8,7FFF00FFFF00
0.045089,1,502,Rx d,8,208E008E8E8E
0.04521,1,657,Rx d,8,FFEB7FFFFFFF00
0.045345,1,658,Rx d,8,019FFFA3D700
0.045484,1,659,Rx d,8,FFFFFFFF0000
0.045616,1,630,Rx d,8,01FFFF0A9C00
0.045751,1,631,Rx d,8,00010100010
0.045887,1,632,Rx d,8,7FFF7FFF0110
0.046019,1,633,Rx d,8,104F010000
0.046139,1,503,Rx d,8,23E43D3E444
0.046264,1,634,Rx d,8,07FFFFFFF000
0.046397,1,635,Rx d,8,7FFFFFFF1100
0.0465,1,470,Rx d,6,01904B3E0
0.046622,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.047053,1,504,Rx d,8,811000011
0.048048,1,505,Rx d,8,23B3B00000
0.048172,1,7F5,Rx d,8,0FF00000FF
0.048387,1,470,Rx d,6,0120433E8
0.050358,1,470,Rx d,6,0203C3E8
0.050584,1,E9,Rx d,8,06FFFFF25FE3A0
0.050764,1,471,Rx d,6,000000
0.05188,1,460,Rx d,8,000001700
0.052002,1,460,Rx d,8,154C7DC7F780
0.052145,1,460,Rx d,8,29068601800
0.0524,1,470,Rx d,6,00A03C3CF
0.053049,1,500,Rx d,8,301764009A820
0.054057,1,501,Rx d,8,30000000
0.054281,1,640,Rx d,8,003D70F5057
0.054385,1,470,Rx d,6,0120533E8
0.054507,1,641,Rx d,8,01205900046
0.054641,1,642,Rx d,8,0007DFF6AF060
0.054776,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.054911,1,652,Rx d,8,00F060FF000
0.055047,1,655,Rx d,8,0180297FFF7FFF
0.055171,1,502,Rx d,8,30000000
0.055296,1,656,Rx d,8,7FFF00FFFF00
0.05543,1,657,Rx d,8,FFEB7FFFFFFF00
0.055565,1,658,Rx d,8,012013E800
0.055703,1,659,Rx d,8,FFFFFFFF0000
0.055838,1,630,Rx d,8,01FFFF0A9C00
0.055974,1,631,Rx d,8,00010100010
0.056096,1,503,Rx d,8,323E3E03E3E3E
0.05622,1,632,Rx d,8,7FFF7FFF0110
0.056353,1,633,Rx d,8,104F010000
0.056456,1,470,Rx d,6,00A04B3E0
0.056581,1,634,Rx d,8,07FFFFFFF000
0.056717,1,635,Rx d,8,7FFFFFFF1100
0.056853,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.056991,1,644,Rx d,8,0000010016
0.057114,1,504,Rx d,8,C01111100
0.057238,1,645,Rx d,8,00000007F
0.05738,1,646,Rx d,8,007FFF7FFF00
0.057517,1,647,Rx d,8,007FFF7FFF00
0.057656,1,648,Rx d,8,00000000
0.057793,1,670,Rx d,8,1000000A00
0.057927,1,671,Rx d,8,F060FB500100
0.058067,1,672,Rx d,8,00000000
0.058205,1,118,Rx d,8,09018181900
0.058337,1,E0,Rx d,8,AF2D012E612E60
0.058459,1,2A,Rx d,8,1100000C20
0.058581,1,119,Rx d,8,007FFF1096
0.058684,1,470,Rx d,6,00A0343E0
0.058761,1,11A,Rx d,3,000
0.058875,1,471,Rx d,6,000000
0.059,1,29,Rx d,8,00000000
0.060162,1,649,Rx d,8,404041FFFF7900
0.060307,1,64A,Rx d,8,0E30032C83D7
0.06041,1,470,Rx d,6,01205B3E8
0.060535,1,64B,Rx d,8,00000000
0.060672,1,64C,Rx d,8,000220000
0.060792,1,E9,Rx d,8,1FE1F1FFEFEFEFE
0.060916,1,64D,Rx d,8,0001010200
0.061054,1,64E,Rx d,8,000120000
0.061189,1,64F,Rx d,8,00EC8C8FFFF04
0.061327,1,650,Rx d,8,96FFFFFFFF00
0.061461,1,651,Rx d,8,FF0FFFF0E3FFFF
0.061613,1,65A,Rx d,8,00004000
0.061752,1,65B,Rx d,8,00000000
0.061895,1,65C,Rx d,8,FFFF000000
0.062032,1,65E,Rx d,8,7FFF7FFF7FFF00
0.062171,1,65F,Rx d,8,003E819000
0.062304,1,480,Rx d,8,4C544320FFFF00
0.062405,1,470,Rx d,6,0190433E8
0.063051,1,500,Rx d,8,400000000
0.064058,1,501,Rx d,8,40000000
0.06435,1,470,Rx d,6,00A04B3CF
0.064578,1,640,Rx d,8,003D70F5057
0.064713,1,641,Rx d,8,01205900046
0.064847,1,642,Rx d,8,0007DFF6AF060
0.064995,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.065119,1,502,Rx d,8,40000000
0.06524,1,652,Rx d,8,00F060FF000
0.065375,1,655,Rx d,8,0180297FFF7FFF
0.065532,1,656,Rx d,8,7FFF00FFFF00
0.065669,1,657,Rx d,8,FFE77FFFFFFF00
0.065826,1,658,Rx d,8,00AFFF23E000
0.065964,1,659,Rx d,8,FFFFFFFF0000
0.066088,1,503,Rx d,8,43E3E00000
0.066209,1,630,Rx d,8,01FFFF0A9D00
0.066345,1,631,Rx d,8,00010100010
0.066447,1,470,Rx d,6,00A0433CF
0.066571,1,632,Rx d,8,7FFF7FFF0110
0.066705,1,633,Rx d,8,104F010000
0.066852,1,634,Rx d,8,07FFFFFFF000
0.066957,1,471,Rx d,6,010000
0.067079,1,635,Rx d,8,7FFFFFFF1100
0.067218,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.06813,1,7F5,Rx d,8,0FF00000FF
0.068345,1,470,Rx d,6,00A05B3E8
0.070325,1,470,Rx d,6,0120433D7
0.070778,1,E9,Rx d,8,200FF453FF0
0.071907,1,460,Rx d,8,000001700
0.072029,1,460,Rx d,8,154C7DC7F780
0.072171,1,460,Rx d,8,29068601800
0.072373,1,470,Rx d,6,0120533F8
0.073064,1,500,Rx d,8,00000000
0.074067,1,501,Rx d,8,00000000
0.074187,1,640,Rx d,8,003D70F5057
0.074322,1,641,Rx d,8,01205900046
0.074422,1,470,Rx d,6,00A0533D7
0.074543,1,642,Rx d,8,0007DFF6AF060
0.074681,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.07482,1,471,Rx d,6,000000
0.074941,1,652,Rx d,8,00F060FF000
0.075062,1,502,Rx d,8,000008E08E
0.075185,1,655,Rx d,8,0180297FFF7FFF
0.075322,1,656,Rx d,8,7FFF00FFFF00
0.07546,1,657,Rx d,8,FFE77FFFFFFF00
0.075594,1,658,Rx d,8,00A0193E800
0.075732,1,659,Rx d,8,FFFFFFFF0000
0.075867,1,630,Rx d,8,01FFFF0A9B00
0.076005,1,631,Rx d,8,00010100010
0.076126,1,503,Rx d,8,03E3E00121112
0.07625,1,632,Rx d,8,7FFF7FFF0110
0.076386,1,633,Rx d,8,104F010000
0.076489,1,470,Rx d,6,0120433D7
0.076613,1,634,Rx d,8,07FFFFFFF000
0.076749,1,635,Rx d,8,7FFFFFFF1100
0.076884,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.077024,1,644,Rx d,8,0000010016
0.07715,1,504,Rx d,8,11000001
0.077274,1,645,Rx d,8,00000007F
0.077415,1,646,Rx d,8,007FFF7FFF00
0.077553,1,647,Rx d,8,007FFF7FFF00
0.077691,1,648,Rx d,8,00000000
0.077843,1,670,Rx d,8,1000000A00
0.077978,1,671,Rx d,8,F060FB500100
0.078093,1,505,Rx d,8,03C3C3A3B3B3B3B
0.078219,1,672,Rx d,8,00000000
0.078352,1,118,Rx d,8,09018181900
0.078453,1,470,Rx d,6,00A0433D7
0.078576,1,119,Rx d,8,007FFF1096
0.078662,1,11A,Rx d,3,000
0.078814,1,29,Rx d,8,00000000
0.078932,1,2A,Rx d,8,01747906D0D98
0.080312,1,470,Rx d,6,01203C3E0
0.081629,1,E9,Rx d,8,363644100021
0.082326,1,470,Rx d,6,00A04B3D7
0.082718,1,471,Rx d,6,010000
0.083059,1,500,Rx d,8,100000000
0.083931,1,640,Rx d,8,003D70F5057
0.084061,1,501,Rx d,8,10000000
0.084182,1,641,Rx d,8,01205900046
0.084315,1,642,Rx d,8,0007DFF6AF060
0.084417,1,470,Rx d,6,0120433D7
0.08454,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.084674,1,652,Rx d,8,00F060FF000
0.084837,1,655,Rx d,8,0180297FFF7FFF
0.084974,1,656,Rx d,8,7FFF00FFFF00
0.085097,1,502,Rx d,8,1008E0600
0.08522,1,657,Rx d,8,FFEA7FFFFFFF00
0.085356,1,658,Rx d,8,00A013D700
0.085494,1,659,Rx d,8,FFFFFFFF0000
0.085625,1,630,Rx d,8,01FFFF0A9E00
0.085759,1,631,Rx d,8,00010100010
0.085895,1,632,Rx d,8,7FFF7FFF0110
0.086027,1,633,Rx d,8,104F010000
0.086147,1,503,Rx d,8,13E3D403E43D
0.086272,1,634,Rx d,8,07FFFFFFF000
0.086405,1,635,Rx d,8,7FFFFFFF1100
0.086507,1,470,Rx d,6,00A04B3D7
0.08663,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.087055,1,504,Rx d,8,410010110
0.088042,1,505,Rx d,8,13B3B3B3B3B3B3B
0.08832,1,470,Rx d,6,00A01C3E8
0.090111,1,7F5,Rx d,8,0FF00000FF
0.090318,1,470,Rx d,6,00A04B3E0
0.090704,1,471,Rx d,6,010000
0.091933,1,460,Rx d,8,000001700
0.092056,1,460,Rx d,8,154C7DC7F780
0.092198,1,460,Rx d,8,29068601800
0.092348,1,470,Rx d,6,0203C3E0
0.09392,1,640,Rx d,8,003D70F5057
0.094056,1,641,Rx d,8,01205900046
0.09418,1,501,Rx d,8,20000000
0.0943,1,642,Rx d,8,0007DFF6AF060
0.094401,1,470,Rx d,6,FFFC04B3D7
0.094525,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.094658,1,652,Rx d,8,00F060FF000
0.094809,1,655,Rx d,8,0180297FFF7FFF
0.094945,1,656,Rx d,8,7FFF00FFFF00
0.095063,1,502,Rx d,8,208E008E8E8E
0.095185,1,657,Rx d,8,FFEF7FFFFFFF00
0.095323,1,658,Rx d,8,00AFFDA3E800
0.095461,1,659,Rx d,8,FFFFFFFF0000
0.095596,1,630,Rx d,8,01FFFF0A9D00
0.095733,1,631,Rx d,8,00010100010
0.095873,1,632,Rx d,8,7FFF7FFF0110
0.096008,1,633,Rx d,8,104F010000
0.096128,1,503,Rx d,8,23E43D3E444
0.096253,1,634,Rx d,8,07FFFFFFF000
0.096367,1,470,Rx d,6,0120533E0
0.096491,1,635,Rx d,8,7FFFFFFF1100
0.096624,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.096758,1,644,Rx d,8,0000010016
0.096898,1,645,Rx d,8,00000007F
0.097038,1,646,Rx d,8,007FFF7FFF00
0.097163,1,504,Rx d,8,811000011
0.097286,1,647,Rx d,8,007FFF7FFF00
0.097427,1,648,Rx d,8,00000000
0.097565,1,670,Rx d,8,1000000A00
0.097699,1,671,Rx d,8,F060FB500100
0.097842,1,672,Rx d,8,00000000
0.097978,1,118,Rx d,8,09018181900
0.098099,1,505,Rx d,8,23B3B00000
0.098222,1,119,Rx d,8,007FFF1096
0.098308,1,11A,Rx d,3,000
0.09841,1,470,Rx d,6,0120433E8
0.098536,1,29,Rx d,8,00000000
0.098801,1,471,Rx d,6,010000
0.099662,1,2A,Rx d,8,1100000C20
0.100306,1,470,Rx d,6,0120433D7
0.100603,1,E9,Rx d,8,06FFFFF25FE3A0
0.102286,1,470,Rx d,6,00A04B3F0
0.10305,1,500,Rx d,8,301765009A820
0.103934,1,640,Rx d,8,003D70F5057
0.104061,1,501,Rx d,8,30010000
0.104182,1,641,Rx d,8,01205900046
0.104314,1,642,Rx d,8,0007DFF6AF060
0.104417,1,470,Rx d,6,0204B3D7
0.104539,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.104674,1,652,Rx d,8,00F060FF000
0.104832,1,655,Rx d,8,0180297FFF7FFF
0.104969,1,656,Rx d,8,7FFF00FFFF00
0.105094,1,502,Rx d,8,30000000
0.105217,1,657,Rx d,8,FFEB7FFFFFFF00
0.105352,1,658,Rx d,8,012013D700
0.105487,1,659,Rx d,8,FFFFFFFF0000
0.105619,1,630,Rx d,8,01FFFF0A9B00
0.105754,1,631,Rx d,8,00010100010
0.105894,1,632,Rx d,8,7FFF7FFF0110
0.106029,1,633,Rx d,8,104F010000
0.106149,1,503,Rx d,8,323D3E03E3E3E
0.106275,1,634,Rx d,8,07FFFFFFF000
0.106375,1,470,Rx d,6,0120343D7
0.1065,1,635,Rx d,8,7FFFFFFF1100
0.106633,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.106813,1,471,Rx d,6,010000
0.107057,1,504,Rx d,8,C01111100
0.10813,1,7F5,Rx d,8,0FF00000FF
0.108295,1,470,Rx d,6,01205B3E0
0.109525,1,E0,Rx d,8,BF2E1212E6000
0.110274,1,470,Rx d,6,01203C3C7
0.11069,1,E9,Rx d,8,1FE1F1FFEFEFEFE
0.111956,1,460,Rx d,8,000001700
0.112078,1,460,Rx d,8,154C7DC7F780
0.112222,1,460,Rx d,8,29068601800
0.112324,1,470,Rx d,6,01203C3E8
0.113054,1,500,Rx d,8,400000000
0.114023,1,640,Rx d,8,003D70F5057
0.114148,1,501,Rx d,8,40000000
0.114269,1,641,Rx d,8,01205900046
0.11437,1,470,Rx d,6,0190633D7
0.11449,1,642,Rx d,8,0007DFF6AF060
0.114627,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.114732,1,471,Rx d,6,000000
0.114854,1,652,Rx d,8,00F060FF000
0.114989,1,655,Rx d,8,0180297FFF7FFF
0.115114,1,502,Rx d,8,40000000
0.115238,1,656,Rx d,8,7FFF00FFFF00
0.115373,1,657,Rx d,8,FFEB7FFFFFFF00
0.115507,1,658,Rx d,8,012FFFA3C700
0.115645,1,659,Rx d,8,FFFFFFFF0000
0.11578,1,630,Rx d,8,01FFFF0A9D00
0.115918,1,631,Rx d,8,00010100010
0.116053,1,503,Rx d,8,43E3E00000
0.116177,1,632,Rx d,8,7FFF7FFF0110
0.116313,1,633,Rx d,8,104F010000
0.116416,1,470,Rx d,6,0120633E0
0.116541,1,634,Rx d,8,07FFFFFFF000
0.116676,1,635,Rx d,8,7FFFFFFF1100
0.116829,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.116966,1,644,Rx d,8,0000010016
0.117104,1,645,Rx d,8,00000007F
0.117244,1,646,Rx d,8,007FFF7FFF00
0.117384,1,647,Rx d,8,007FFF7FFF00
0.117523,1,648,Rx d,8,00000000
0.11766,1,670,Rx d,8,1000000A00
0.117814,1,671,Rx d,8,F060FB500100
0.117953,1,672,Rx d,8,00000000
0.11809,1,118,Rx d,8,09018181900
0.118224,1,119,Rx d,8,007FFF1096
0.118337,1,470,Rx d,6,00A0533E0
0.118414,1,11A,Rx d,3,000
0.118549,1,29,Rx d,8,00000000
0.11983,1,2A,Rx d,8,01747906D0D98
0.120284,1,470,Rx d,6,01903C3F0
0.120778,1,E9,Rx d,8,200FF453FF0
0.12226,1,470,Rx d,6,0120433C7
0.122648,1,471,Rx d,6,010000
0.123062,1,500,Rx d,8,00000000
0.123989,1,640,Rx d,8,003D70F5057
0.124114,1,501,Rx d,8,00000000
0.124235,1,641,Rx d,8,01205900046
0.124337,1,470,Rx d,6,0120433D7
0.124457,1,642,Rx d,8,0007DFF6AF060
0.124593,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.124728,1,652,Rx d,8,00F060FF000
0.124864,1,655,Rx d,8,0180297FFF7FFF
0.125,1,656,Rx d,8,7FFF00FFFF00
0.125122,1,502,Rx d,8,000008E08E
0.125244,1,657,Rx d,8,FFEB7FFFFFFF00
0.125382,1,658,Rx d,8,019FFFA3F000
0.125519,1,659,Rx d,8,FFFFFFFF0000
0.12565,1,630,Rx d,8,01FFFF0A9D00
0.125785,1,631,Rx d,8,00010100010
0.125922,1,632,Rx d,8,7FFF7FFF0110
0.126051,1,503,Rx d,8,03E3E00121112
0.126171,1,633,Rx d,8,104F010000
0.126308,1,634,Rx d,8,07FFFFFFF000
0.12641,1,470,Rx d,6,0190433E8
0.126532,1,635,Rx d,8,7FFFFFFF1100
0.126675,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.127059,1,504,Rx d,8,11000001
0.128045,1,505,Rx d,8,03A3B3C3C3C3B3A
0.128169,1,7F5,Rx d,8,0FF00000FF
0.12827,1,470,Rx d,6,01203C3C7
0.13025,1,470,Rx d,6,00A05B3E8
0.130638,1,471,Rx d,6,010000
0.131737,1,E9,Rx d,8,363644100021
0.131973,1,460,Rx d,8,000001700
0.132095,1,460,Rx d,8,154C7DC7F780
0.132238,1,460,Rx d,8,29068601800
0.132339,1,470,Rx d,6,0120533D7
0.133066,1,500,Rx d,8,100000000
0.134064,1,501,Rx d,8,10000000
0.134184,1,640,Rx d,8,003D70F5057
0.134285,1,470,Rx d,6,01204B3B7
0.134407,1,641,Rx d,8,01205900046
0.13454,1,642,Rx d,8,0007DFF6AF060
0.134677,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.134832,1,652,Rx d,8,00F060FF000
0.134967,1,655,Rx d,8,0180297FFF7FFF
0.13509,1,502,Rx d,8,1008E0600
0.135213,1,656,Rx d,8,7FFF00FFFF00
0.135352,1,657,Rx d,8,FFE77FFFFFFF00
0.135488,1,658,Rx d,8,0120113D700
0.135626,1,659,Rx d,8,FFFFFFFF0000
0.135759,1,630,Rx d,8,01FFFF0A9E00
0.135895,1,631,Rx d,8,00010100010
0.136035,1,632,Rx d,8,7FFF7FFF0110
0.136155,1,503,Rx d,8,13E3D403E43D
0.136276,1,633,Rx d,8,104F010000
0.136377,1,470,Rx d,6,00A05B3F0
0.136503,1,634,Rx d,8,07FFFFFFF000
0.136637,1,635,Rx d,8,7FFFFFFF1100
0.136771,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.136909,1,644,Rx d,8,0000010016
0.137049,1,645,Rx d,8,00000007F
0.137173,1,504,Rx d,8,410010110
0.137299,1,646,Rx d,8,007FFF7FFF00
0.137438,1,647,Rx d,8,007FFF7FFF00
0.137577,1,648,Rx d,8,00000000
0.137716,1,670,Rx d,8,1000000A00
0.137851,1,671,Rx d,8,F060FB500100
0.137993,1,672,Rx d,8,00000000
0.138107,1,505,Rx d,8,13B3B3B3B3B3B3B
0.138229,1,118,Rx d,8,09018181900
0.138332,1,470,Rx d,6,01204B3E0
0.138454,1,119,Rx d,8,007FFF1096
0.138545,1,11A,Rx d,3,000
0.138682,1,29,Rx d,8,00000000
0.138788,1,471,Rx d,6,000000
0.140237,1,470,Rx d,6,00A0343E0
0.14036,1,2A,Rx d,8,1100000C20
0.142236,1,470,Rx d,6,01903C3D7
0.143785,1,640,Rx d,8,003D70F4057
0.143992,1,641,Rx d,8,01205900046
0.144117,1,501,Rx d,8,20000000
0.144237,1,642,Rx d,8,0007DFF6AF060
0.144339,1,470,Rx d,6,01203C3D7
0.144463,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.144597,1,652,Rx d,8,00F060FF000
0.144732,1,655,Rx d,8,0180297FFF7FFF
0.144868,1,656,Rx d,8,7FFF00FFFF00
0.145005,1,657,Rx d,8,FFEA7FFFFFFF00
0.145123,1,502,Rx d,8,208E008E8E8E
0.145245,1,658,Rx d,8,012093E000
0.145384,1,659,Rx d,8,FFFFFFFF0000
0.145515,1,630,Rx d,8,01FFFF0A9D00
0.145649,1,631,Rx d,8,00010100010
0.145784,1,632,Rx d,8,7FFF7FFF0110
0.14592,1,633,Rx d,8,104F010000
0.146052,1,503,Rx d,8,23E43D3E444
0.146178,1,634,Rx d,8,07FFFFFFF000
0.146312,1,635,Rx d,8,7FFFFFFF1100
0.146414,1,470,Rx d,6,0120533D7
0.146537,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.146746,1,471,Rx d,6,000000
0.14706,1,504,Rx d,8,811000011
0.148055,1,505,Rx d,8,23B3B00000
0.148179,1,7F5,Rx d,8,0FF00000FF
0.148281,1,470,Rx d,6,00A04B3B7
0.150231,1,470,Rx d,6,0190533E0
0.150595,1,E9,Rx d,8,06FFFFF25FE3A0
0.15199,1,460,Rx d,8,000001700
0.152113,1,460,Rx d,8,154C7DC7F780
0.152241,1,460,Rx d,8,29068601800
0.152345,1,470,Rx d,6,0120533E0
0.153058,1,500,Rx d,8,301765009A820
0.154063,1,501,Rx d,8,30000000
0.154237,1,470,Rx d,6,00A0533CF
0.154438,1,640,Rx d,8,003D70F5057
0.154572,1,641,Rx d,8,01205900046
0.154677,1,471,Rx d,6,000000
0.154797,1,642,Rx d,8,0007DFF6AF060
0.154934,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.155059,1,502,Rx d,8,30000000
0.15518,1,652,Rx d,8,00F060FF000
0.155315,1,655,Rx d,8,0180297FFF7FFF
0.155452,1,656,Rx d,8,7FFF00FFFF00
0.155587,1,657,Rx d,8,FFEB7FFFFFFF00
0.155724,1,658,Rx d,8,0120113E000
0.155861,1,659,Rx d,8,FFFFFFFF0000
0.155996,1,630,Rx d,8,01FFFF0A9D00
0.156116,1,503,Rx d,8,323D3E03E3E3E
0.156239,1,631,Rx d,8,00010100010
0.156343,1,470,Rx d,6,0120533E0
0.156469,1,632,Rx d,8,7FFF7FFF0110
0.156601,1,633,Rx d,8,104F010000
0.156741,1,634,Rx d,8,07FFFFFFF000
0.156876,1,635,Rx d,8,7FFFFFFF1100
0.157013,1,636,Rx d,8,FFFFFFFF7FFFFFFF
0.157137,1,504,Rx d,8,C01111100
0.157261,1,644,Rx d,8,0000010016
0.1574,1,645,Rx d,8,00000007F
0.15754,1,646,Rx d,8,007FFF7FFF00
0.157679,1,647,Rx d,8,007FFF7FFF00
0.157853,1,648,Rx d,8,00000000
0.157991,1,670,Rx d,8,1000000A00
0.158123,1,671,Rx d,8,F060FB500100
0.158267,1,672,Rx d,8,00000000
0.15837,1,470,Rx d,6,0120433D7
0.158491,1,118,Rx d,8,09018181900
0.158633,1,119,Rx d,8,007FFF1096
0.158724,1,11A,Rx d,3,000
0.158861,1,29,Rx d,8,00000000
0.160145,1,649,Rx d,8,404041FFFF7900
0.160248,1,470,Rx d,6,00A0343CF
0.160365,1,64A,Rx d,8,0E30032C83D7
0.160504,1,64B,Rx d,8,00000000
0.160639,1,64C,Rx d,8,000220000
0.160758,1,E0,Rx d,8,CF2E012E6000
0.160875,1,2A,Rx d,8,01747806D0D98
0.160995,1,E9,Rx d,8,1FE1F1FFEFEFEFE
0.161119,1,64D,Rx d,8,0001010200
0.161256,1,64E,Rx d,8,000120000
0.161391,1,64F,Rx d,8,00EC8C8FFFF04
0.16153,1,650,Rx d,8,96FFFFFFFF00
0.161665,1,651,Rx d,8,FF0FFFF0E3FFFF
0.161822,1,65A,Rx d,8,00004000
0.161959,1,65B,Rx d,8,00000000
0.162099,1,65C,Rx d,8,FFFF000000
0.162237,1,65E,Rx d,8,7FFF7FFF7FFF00
0.16234,1,470,Rx d,6,00A04B3E0
0.162465,1,65F,Rx d,8,003E819000
0.1626,1,480,Rx d,8,4C544320FFFF00
0.162736,1,471,Rx d,6,010000
0.163058,1,500,Rx d,8,400000000
0.164066,1,501,Rx d,8,40000000
0.164222,1,470,Rx d,6,00A0533E8
0.164626,1,640,Rx d,8,003D70F5057
0.16476,1,641,Rx d,8,01205900046
0.164896,1,642,Rx d,8,0007DFF6AF060
0.165032,1,643,Rx d,8,FFFFFFFFFFFFFFFF
0.165158,1,502,Rx d,8,40000000
0.165279,1,652,Rx d,8,00F060FF000
0.165415,1,655,Rx d,8,0180297FFF7FFF
0.165551,1,656,Rx d,8,7FFF00FFFF00
0.165686,1,657,Rx d,8,FFEF7FFFFFFF00
0.165834,1,658,Rx d,8,00A093E000
0.165971,1,659,Rx d,8,FFFFFFFF0000
0.166093,1,503,Rx d,8,43E3E00000
0.166215,1,630,Rx d,8,01FFFF0A9B00
0.166319,1,470,Rx d,6,00A0533F0
0.166441,1,631,Rx d,8,00010100010
0.166578,1,632,Rx d,8,7FFF7FFF0110
0.166713,1,633,Rx d,8,104F010000
0.166852,1,634,Rx d,8,07FFFFFFF000
0.166988,1,635,Rx d,8,7FFFFFFF1100
0.167126,1,636,Rx d,8,FFFFFFFF7FFFFFFF
